"Station","Date","Daily Rainfall (mm)"
"Kinneret Kvuza 09/1977-08/2023","02/02/1987","0.3"
"Kinneret Kvuza 09/1977-08/2023","03/02/1987","10.8"
"Kinneret Kvuza 09/1977-08/2023","08/02/1987","0.6"
"Kinneret Kvuza 09/1977-08/2023","09/02/1987","9"
"Kinneret Kvuza 09/1977-08/2023","19/02/1987","4.3"
"Kinneret Kvuza 09/1977-08/2023","25/02/1987","1.7"
"Kinneret Kvuza 09/1977-08/2023","27/02/1987","0.9"
"Kinneret Kvuza 09/1977-08/2023","28/02/1987","0.3"
"Kinneret Kvuza 09/1977-08/2023","02/03/1987","3"
"Kinneret Kvuza 09/1977-08/2023","05/03/1987","3.5"
"Kinneret Kvuza 09/1977-08/2023","06/03/1987","4.1"
"Kinneret Kvuza 09/1977-08/2023","07/03/1987","2.5"
"Kinneret Kvuza 09/1977-08/2023","08/03/1987","1.5"
"Kinneret Kvuza 09/1977-08/2023","09/03/1987","4.8"
"Kinneret Kvuza 09/1977-08/2023","10/03/1987","1.7"
"Kinneret Kvuza 09/1977-08/2023","12/03/1987","2.3"
"Kinneret Kvuza 09/1977-08/2023","13/03/1987","5.5"
"Kinneret Kvuza 09/1977-08/2023","14/03/1987","11.4"
"Kinneret Kvuza 09/1977-08/2023","16/03/1987","7.5"
"Kinneret Kvuza 09/1977-08/2023","18/03/1987","0.5"
"Kinneret Kvuza 09/1977-08/2023","23/03/1987","0.6"
"Kinneret Kvuza 09/1977-08/2023","24/03/1987","3.6"
"Kinneret Kvuza 09/1977-08/2023","25/03/1987","5.5"
"Kinneret Kvuza 09/1977-08/2023","26/03/1987","3.8"
"Kinneret Kvuza 09/1977-08/2023","27/03/1987","0.5"
"Kinneret Kvuza 09/1977-08/2023","03/04/1987","1.3"
"Kinneret Kvuza 09/1977-08/2023","18/04/1987","2.7"
"Kinneret Kvuza 09/1977-08/2023","19/04/1987","1.4"
"Kinneret Kvuza 09/1977-08/2023","05/10/1987","0"
"Kinneret Kvuza 09/1977-08/2023","18/10/1987","0"
"Kinneret Kvuza 09/1977-08/2023","21/10/1987","2.5"
"Kinneret Kvuza 09/1977-08/2023","22/10/1987","0.8"
"Kinneret Kvuza 09/1977-08/2023","23/10/1987","18.2"
"Kinneret Kvuza 09/1977-08/2023","01/11/1987","1.1"
"Kinneret Kvuza 09/1977-08/2023","06/11/1987","4.9"
"Kinneret Kvuza 09/1977-08/2023","04/12/1987","3.7"
"Kinneret Kvuza 09/1977-08/2023","05/12/1987","10.4"
"Kinneret Kvuza 09/1977-08/2023","06/12/1987","0.9"
"Kinneret Kvuza 09/1977-08/2023","07/12/1987","1"
"Kinneret Kvuza 09/1977-08/2023","08/12/1987","0.7"
"Kinneret Kvuza 09/1977-08/2023","12/12/1987","11"
"Kinneret Kvuza 09/1977-08/2023","13/12/1987","9.4"
"Kinneret Kvuza 09/1977-08/2023","14/12/1987","0.5"
"Kinneret Kvuza 09/1977-08/2023","18/12/1987","1.7"
"Kinneret Kvuza 09/1977-08/2023","19/12/1987","11.2"
"Kinneret Kvuza 09/1977-08/2023","20/12/1987","6.8"
"Kinneret Kvuza 09/1977-08/2023","21/12/1987","2.2"
"Kinneret Kvuza 09/1977-08/2023","22/12/1987","3.2"
"Kinneret Kvuza 09/1977-08/2023","23/12/1987","32.3"
"Kinneret Kvuza 09/1977-08/2023","24/12/1987","7.2"
"Kinneret Kvuza 09/1977-08/2023","25/12/1987","23.6"
"Kinneret Kvuza 09/1977-08/2023","26/12/1987","0.4"
"Kinneret Kvuza 09/1977-08/2023","27/12/1987","0.3"
"Kinneret Kvuza 09/1977-08/2023","29/12/1987","0.6"
"Kinneret Kvuza 09/1977-08/2023","03/01/1988","1.6"
"Kinneret Kvuza 09/1977-08/2023","04/01/1988","15.7"
"Kinneret Kvuza 09/1977-08/2023","05/01/1988","14.4"
"Kinneret Kvuza 09/1977-08/2023","06/01/1988","1.2"
"Kinneret Kvuza 09/1977-08/2023","11/01/1988","3"
"Kinneret Kvuza 09/1977-08/2023","12/01/1988","2.3"
"Kinneret Kvuza 09/1977-08/2023","13/01/1988","1.9"
"Kinneret Kvuza 09/1977-08/2023","14/01/1988","0.1"
"Kinneret Kvuza 09/1977-08/2023","15/01/1988","18"
"Kinneret Kvuza 09/1977-08/2023","16/01/1988","4.9"
"Kinneret Kvuza 09/1977-08/2023","17/01/1988","0.2"
"Kinneret Kvuza 09/1977-08/2023","20/01/1988","0.5"
"Kinneret Kvuza 09/1977-08/2023","21/01/1988","9.5"
"Kinneret Kvuza 09/1977-08/2023","22/01/1988","3.6"
"Kinneret Kvuza 09/1977-08/2023","24/01/1988","6.2"
"Kinneret Kvuza 09/1977-08/2023","25/01/1988","5"
"Kinneret Kvuza 09/1977-08/2023","27/01/1988","1.3"
"Kinneret Kvuza 09/1977-08/2023","28/01/1988","0.1"
"Kinneret Kvuza 09/1977-08/2023","31/01/1988","3.9"
"Kinneret Kvuza 09/1977-08/2023","01/02/1988","30.3"
"Kinneret Kvuza 09/1977-08/2023","02/02/1988","2"
"Kinneret Kvuza 09/1977-08/2023","07/02/1988","0.1"
"Kinneret Kvuza 09/1977-08/2023","12/02/1988","0"
"Kinneret Kvuza 09/1977-08/2023","13/02/1988","1"
"Kinneret Kvuza 09/1977-08/2023","15/02/1988","1"
"Kinneret Kvuza 09/1977-08/2023","16/02/1988","13.9"
"Kinneret Kvuza 09/1977-08/2023","17/02/1988","16.3"
"Kinneret Kvuza 09/1977-08/2023","18/02/1988","3"
"Kinneret Kvuza 09/1977-08/2023","19/02/1988","0.4"
"Kinneret Kvuza 09/1977-08/2023","21/02/1988","1"
"Kinneret Kvuza 09/1977-08/2023","22/02/1988","5.8"
"Kinneret Kvuza 09/1977-08/2023","23/02/1988","14.6"
"Kinneret Kvuza 09/1977-08/2023","24/02/1988","1.7"
"Kinneret Kvuza 09/1977-08/2023","27/02/1988","0.5"
"Kinneret Kvuza 09/1977-08/2023","01/03/1988","1.7"
"Kinneret Kvuza 09/1977-08/2023","02/03/1988","0.4"
"Kinneret Kvuza 09/1977-08/2023","03/03/1988","8.5"
"Kinneret Kvuza 09/1977-08/2023","06/03/1988","10.8"
"Kinneret Kvuza 09/1977-08/2023","07/03/1988","6.6"
"Kinneret Kvuza 09/1977-08/2023","08/03/1988","1.5"
"Kinneret Kvuza 09/1977-08/2023","10/03/1988","0.3"
"Kinneret Kvuza 09/1977-08/2023","11/03/1988","1.3"
"Kinneret Kvuza 09/1977-08/2023","12/03/1988","2.1"
"Kinneret Kvuza 09/1977-08/2023","13/03/1988","10.5"
"Kinneret Kvuza 09/1977-08/2023","19/03/1988","15"
"Kinneret Kvuza 09/1977-08/2023","20/03/1988","6.1"
"Kinneret Kvuza 09/1977-08/2023","22/03/1988","3"
"Kinneret Kvuza 09/1977-08/2023","25/03/1988","1.7"
"Kinneret Kvuza 09/1977-08/2023","26/03/1988","0.3"
"Kinneret Kvuza 09/1977-08/2023","16/04/1988","6.5"
"Kinneret Kvuza 09/1977-08/2023","17/04/1988","4.2"
"Kinneret Kvuza 09/1977-08/2023","23/04/1988","1.5"
"Kinneret Kvuza 09/1977-08/2023","03/10/1988","0.1"
"Kinneret Kvuza 09/1977-08/2023","17/10/1988","0"
"Kinneret Kvuza 09/1977-08/2023","26/10/1988","0"
"Kinneret Kvuza 09/1977-08/2023","29/10/1988","3.5"
"Kinneret Kvuza 09/1977-08/2023","30/10/1988","0"
"Kinneret Kvuza 09/1977-08/2023","03/11/1988","0.5"
"Kinneret Kvuza 09/1977-08/2023","10/11/1988","4"
"Kinneret Kvuza 09/1977-08/2023","11/11/1988","0.3"
"Kinneret Kvuza 09/1977-08/2023","18/11/1988","37"
"Kinneret Kvuza 09/1977-08/2023","19/11/1988","2.5"
"Kinneret Kvuza 09/1977-08/2023","27/11/1988","0.7"
"Kinneret Kvuza 09/1977-08/2023","05/12/1988","3.4"
"Kinneret Kvuza 09/1977-08/2023","06/12/1988","4.5"
"Kinneret Kvuza 09/1977-08/2023","13/12/1988","0.4"
"Kinneret Kvuza 09/1977-08/2023","14/12/1988","3"
"Kinneret Kvuza 09/1977-08/2023","16/12/1988","14.3"
"Kinneret Kvuza 09/1977-08/2023","18/12/1988","30.6"
"Kinneret Kvuza 09/1977-08/2023","19/12/1988","10.5"
"Kinneret Kvuza 09/1977-08/2023","20/12/1988","0.7"
"Kinneret Kvuza 09/1977-08/2023","24/12/1988","22.2"
"Kinneret Kvuza 09/1977-08/2023","25/12/1988","5.1"
"Kinneret Kvuza 09/1977-08/2023","26/12/1988","3.8"
"Kinneret Kvuza 09/1977-08/2023","27/12/1988","0.6"
"Kinneret Kvuza 09/1977-08/2023","28/12/1988","0.5"
"Kinneret Kvuza 09/1977-08/2023","02/01/1989","3.5"
"Kinneret Kvuza 09/1977-08/2023","03/01/1989","0.3"
"Kinneret Kvuza 09/1977-08/2023","08/01/1989","0.2"
"Kinneret Kvuza 09/1977-08/2023","09/01/1989","8.1"
"Kinneret Kvuza 09/1977-08/2023","10/01/1989","0.7"
"Kinneret Kvuza 09/1977-08/2023","13/01/1989","0"
"Kinneret Kvuza 09/1977-08/2023","15/01/1989","14"
"Kinneret Kvuza 09/1977-08/2023","21/01/1989","0.1"
"Kinneret Kvuza 09/1977-08/2023","27/01/1989","0"
"Kinneret Kvuza 09/1977-08/2023","28/01/1989","0"
"Kinneret Kvuza 09/1977-08/2023","10/02/1989","8.5"
"Kinneret Kvuza 09/1977-08/2023","11/02/1989","11.8"
"Kinneret Kvuza 09/1977-08/2023","12/02/1989","3.5"
"Kinneret Kvuza 09/1977-08/2023","13/02/1989","0"
"Kinneret Kvuza 09/1977-08/2023","14/02/1989","0.2"
"Kinneret Kvuza 09/1977-08/2023","18/02/1989","1.8"
"Kinneret Kvuza 09/1977-08/2023","19/02/1989","2.9"
"Kinneret Kvuza 09/1977-08/2023","21/02/1989","0"
"Kinneret Kvuza 09/1977-08/2023","03/03/1989","0"
"Kinneret Kvuza 09/1977-08/2023","09/03/1989","0"
"Kinneret Kvuza 09/1977-08/2023","13/03/1989","0.5"
"Kinneret Kvuza 09/1977-08/2023","14/03/1989","17.8"
"Kinneret Kvuza 09/1977-08/2023","15/03/1989","16.7"
"Kinneret Kvuza 09/1977-08/2023","16/03/1989","4.9"
"Kinneret Kvuza 09/1977-08/2023","17/03/1989","0.2"
"Kinneret Kvuza 09/1977-08/2023","27/03/1989","1.4"
"Kinneret Kvuza 09/1977-08/2023","28/03/1989","4.2"
"Kinneret Kvuza 09/1977-08/2023","27/04/1989","2.1"
"Kinneret Kvuza 09/1977-08/2023","08/09/1989","0"
"Kinneret Kvuza 09/1977-08/2023","17/10/1989","0"
"Kinneret Kvuza 09/1977-08/2023","18/10/1989","0.4"
"Kinneret Kvuza 09/1977-08/2023","19/10/1989","7.1"
"Kinneret Kvuza 09/1977-08/2023","20/10/1989","2.4"
"Kinneret Kvuza 09/1977-08/2023","21/10/1989","0.2"
"Kinneret Kvuza 09/1977-08/2023","29/10/1989","0.2"
"Kinneret Kvuza 09/1977-08/2023","30/10/1989","8"
"Kinneret Kvuza 09/1977-08/2023","11/11/1989","0.4"
"Kinneret Kvuza 09/1977-08/2023","13/11/1989","11.6"
"Kinneret Kvuza 09/1977-08/2023","14/11/1989","18.2"
"Kinneret Kvuza 09/1977-08/2023","15/11/1989","15.7"
"Kinneret Kvuza 09/1977-08/2023","16/11/1989","7.6"
"Kinneret Kvuza 09/1977-08/2023","17/11/1989","5"
"Kinneret Kvuza 09/1977-08/2023","18/11/1989","1"
"Kinneret Kvuza 09/1977-08/2023","29/11/1989","13.4"
"Kinneret Kvuza 09/1977-08/2023","30/11/1989","0.5"
"Kinneret Kvuza 09/1977-08/2023","06/12/1989","7.5"
"Kinneret Kvuza 09/1977-08/2023","07/12/1989","5.8"
"Kinneret Kvuza 09/1977-08/2023","08/12/1989","12.5"
"Kinneret Kvuza 09/1977-08/2023","09/12/1989","0.6"
"Kinneret Kvuza 09/1977-08/2023","11/12/1989","24"
"Kinneret Kvuza 09/1977-08/2023","12/12/1989","1"
"Kinneret Kvuza 09/1977-08/2023","13/12/1989","0"
"Kinneret Kvuza 09/1977-08/2023","14/12/1989","6"
"Kinneret Kvuza 09/1977-08/2023","15/12/1989","0.1"
"Kinneret Kvuza 09/1977-08/2023","31/12/1989","1.3"
"Kinneret Kvuza 09/1977-08/2023","01/01/1990","0.6"
"Kinneret Kvuza 09/1977-08/2023","03/01/1990","81.5"
"Kinneret Kvuza 09/1977-08/2023","04/01/1990","18.5"
"Kinneret Kvuza 09/1977-08/2023","05/01/1990","0.3"
"Kinneret Kvuza 09/1977-08/2023","07/01/1990","0.1"
"Kinneret Kvuza 09/1977-08/2023","14/01/1990","0"
"Kinneret Kvuza 09/1977-08/2023","15/01/1990","1.7"
"Kinneret Kvuza 09/1977-08/2023","16/01/1990","3"
"Kinneret Kvuza 09/1977-08/2023","17/01/1990","0.3"
"Kinneret Kvuza 09/1977-08/2023","19/01/1990","3.8"
"Kinneret Kvuza 09/1977-08/2023","21/01/1990","3.5"
"Kinneret Kvuza 09/1977-08/2023","22/01/1990","10.5"
"Kinneret Kvuza 09/1977-08/2023","23/01/1990","0.1"
"Kinneret Kvuza 09/1977-08/2023","25/01/1990","0.5"
"Kinneret Kvuza 09/1977-08/2023","26/01/1990","10.6"
"Kinneret Kvuza 09/1977-08/2023","27/01/1990","0.1"
"Kinneret Kvuza 09/1977-08/2023","01/02/1990","2"
"Kinneret Kvuza 09/1977-08/2023","04/02/1990","0"
"Kinneret Kvuza 09/1977-08/2023","05/02/1990","2.5"
"Kinneret Kvuza 09/1977-08/2023","06/02/1990","24"
"Kinneret Kvuza 09/1977-08/2023","07/02/1990","4.2"
"Kinneret Kvuza 09/1977-08/2023","09/02/1990","1.5"
"Kinneret Kvuza 09/1977-08/2023","10/02/1990","10.3"
"Kinneret Kvuza 09/1977-08/2023","11/02/1990","0.4"
"Kinneret Kvuza 09/1977-08/2023","12/02/1990","1.9"
"Kinneret Kvuza 09/1977-08/2023","13/02/1990","0.2"
"Kinneret Kvuza 09/1977-08/2023","14/02/1990","6"
"Kinneret Kvuza 09/1977-08/2023","15/02/1990","0"
"Kinneret Kvuza 09/1977-08/2023","17/02/1990","5.1"
"Kinneret Kvuza 09/1977-08/2023","18/02/1990","3.3"
"Kinneret Kvuza 09/1977-08/2023","19/02/1990","0"
"Kinneret Kvuza 09/1977-08/2023","22/02/1990","1"
"Kinneret Kvuza 09/1977-08/2023","28/02/1990","2.2"
"Kinneret Kvuza 09/1977-08/2023","01/03/1990","28.2"
"Kinneret Kvuza 09/1977-08/2023","05/03/1990","0"
"Kinneret Kvuza 09/1977-08/2023","07/03/1990","0.2"
"Kinneret Kvuza 09/1977-08/2023","09/03/1990","0.4"
"Kinneret Kvuza 09/1977-08/2023","11/03/1990","1.6"
"Kinneret Kvuza 09/1977-08/2023","12/03/1990","4.9"
"Kinneret Kvuza 09/1977-08/2023","13/03/1990","1.7"
"Kinneret Kvuza 09/1977-08/2023","24/03/1990","0.4"
"Kinneret Kvuza 09/1977-08/2023","31/03/1990","14.4"
"Kinneret Kvuza 09/1977-08/2023","01/04/1990","27.5"
"Kinneret Kvuza 09/1977-08/2023","02/04/1990","2.7"
"Kinneret Kvuza 09/1977-08/2023","03/04/1990","0"
"Kinneret Kvuza 09/1977-08/2023","10/04/1990","0"
"Kinneret Kvuza 09/1977-08/2023","27/04/1990","0"
"Kinneret Kvuza 09/1977-08/2023","09/05/1990","0"
"Kinneret Kvuza 09/1977-08/2023","11/05/1990","0"
"Kinneret Kvuza 09/1977-08/2023","13/05/1990","0"
"Kinneret Kvuza 09/1977-08/2023","14/05/1990","0.3"
"Kinneret Kvuza 09/1977-08/2023","18/10/1990","1.6"
"Kinneret Kvuza 09/1977-08/2023","20/10/1990","0.3"
"Kinneret Kvuza 09/1977-08/2023","21/10/1990","0.3"
"Kinneret Kvuza 09/1977-08/2023","27/10/1990","1.5"
"Kinneret Kvuza 09/1977-08/2023","28/10/1990","6.7"
"Kinneret Kvuza 09/1977-08/2023","08/11/1990","12.7"
"Kinneret Kvuza 09/1977-08/2023","09/11/1990","1.3"
"Kinneret Kvuza 09/1977-08/2023","10/11/1990","5.1"
"Kinneret Kvuza 09/1977-08/2023","11/11/1990","0.2"
"Kinneret Kvuza 09/1977-08/2023","20/11/1990","3.5"
"Kinneret Kvuza 09/1977-08/2023","03/12/1990","7.4"
"Kinneret Kvuza 09/1977-08/2023","05/12/1990","0.1"
"Kinneret Kvuza 09/1977-08/2023","13/12/1990","0"
"Kinneret Kvuza 09/1977-08/2023","20/12/1990","0"
"Kinneret Kvuza 09/1977-08/2023","22/12/1990","0"
"Kinneret Kvuza 09/1977-08/2023","23/12/1990","10.8"
"Kinneret Kvuza 09/1977-08/2023","24/12/1990","0.6"
"Kinneret Kvuza 09/1977-08/2023","25/12/1990","0"
"Kinneret Kvuza 09/1977-08/2023","03/01/1991","14.8"
"Kinneret Kvuza 09/1977-08/2023","07/01/1991","5.7"
"Kinneret Kvuza 09/1977-08/2023","12/01/1991","0"
"Kinneret Kvuza 09/1977-08/2023","13/01/1991","0"
"Kinneret Kvuza 09/1977-08/2023","16/01/1991","0.1"
"Kinneret Kvuza 09/1977-08/2023","20/01/1991","11.2"
"Kinneret Kvuza 09/1977-08/2023","21/01/1991","0.4"
"Kinneret Kvuza 09/1977-08/2023","22/01/1991","14.6"
"Kinneret Kvuza 09/1977-08/2023","23/01/1991","3.2"
"Kinneret Kvuza 09/1977-08/2023","24/01/1991","10.6"
"Kinneret Kvuza 09/1977-08/2023","25/01/1991","4.2"
"Kinneret Kvuza 09/1977-08/2023","26/01/1991","0.2"
"Kinneret Kvuza 09/1977-08/2023","29/01/1991","11"
"Kinneret Kvuza 09/1977-08/2023","30/01/1991","33.5"
"Kinneret Kvuza 09/1977-08/2023","31/01/1991","11.3"
"Kinneret Kvuza 09/1977-08/2023","01/02/1991","0.2"
"Kinneret Kvuza 09/1977-08/2023","02/02/1991","10.5"
"Kinneret Kvuza 09/1977-08/2023","03/02/1991","0.5"
"Kinneret Kvuza 09/1977-08/2023","07/02/1991","3.4"
"Kinneret Kvuza 09/1977-08/2023","08/02/1991","6.1"
"Kinneret Kvuza 09/1977-08/2023","16/02/1991","9.3"
"Kinneret Kvuza 09/1977-08/2023","25/02/1991","0"
"Kinneret Kvuza 09/1977-08/2023","26/02/1991","6.2"
"Kinneret Kvuza 09/1977-08/2023","27/02/1991","0.9"
"Kinneret Kvuza 09/1977-08/2023","28/02/1991","7.1"
"Kinneret Kvuza 09/1977-08/2023","01/03/1991","0"
"Kinneret Kvuza 09/1977-08/2023","02/03/1991","0.2"
"Kinneret Kvuza 09/1977-08/2023","05/03/1991","9.3"
"Kinneret Kvuza 09/1977-08/2023","06/03/1991","1"
"Kinneret Kvuza 09/1977-08/2023","07/03/1991","0.9"
"Kinneret Kvuza 09/1977-08/2023","11/03/1991","0.2"
"Kinneret Kvuza 09/1977-08/2023","13/03/1991","9.7"
"Kinneret Kvuza 09/1977-08/2023","14/03/1991","0.1"
"Kinneret Kvuza 09/1977-08/2023","17/03/1991","1.1"
"Kinneret Kvuza 09/1977-08/2023","18/03/1991","0.1"
"Kinneret Kvuza 09/1977-08/2023","21/03/1991","6.3"
"Kinneret Kvuza 09/1977-08/2023","22/03/1991","48.4"
"Kinneret Kvuza 09/1977-08/2023","23/03/1991","16.5"
"Kinneret Kvuza 09/1977-08/2023","24/03/1991","0.1"
"Kinneret Kvuza 09/1977-08/2023","02/04/1991","0"
"Kinneret Kvuza 09/1977-08/2023","08/04/1991","0.5"
"Kinneret Kvuza 09/1977-08/2023","09/04/1991","7.4"
"Kinneret Kvuza 09/1977-08/2023","10/04/1991","7.6"
"Kinneret Kvuza 09/1977-08/2023","11/04/1991","0.6"
"Kinneret Kvuza 09/1977-08/2023","29/04/1991","0"
"Kinneret Kvuza 09/1977-08/2023","30/04/1991","0.8"
"Kinneret Kvuza 09/1977-08/2023","01/05/1991","0.4"
"Kinneret Kvuza 09/1977-08/2023","14/05/1991","0"
"Kinneret Kvuza 09/1977-08/2023","19/09/1991","0"
"Kinneret Kvuza 09/1977-08/2023","12/10/1991","0.2"
"Kinneret Kvuza 09/1977-08/2023","13/10/1991","0"
"Kinneret Kvuza 09/1977-08/2023","14/10/1991","2.9"
"Kinneret Kvuza 09/1977-08/2023","02/11/1991","3.1"
"Kinneret Kvuza 09/1977-08/2023","03/11/1991","6.1"
"Kinneret Kvuza 09/1977-08/2023","04/11/1991","1.2"
"Kinneret Kvuza 09/1977-08/2023","05/11/1991","0.1"
"Kinneret Kvuza 09/1977-08/2023","10/11/1991","11.3"
"Kinneret Kvuza 09/1977-08/2023","27/11/1991","2.3"
"Kinneret Kvuza 09/1977-08/2023","28/11/1991","26.1"
"Kinneret Kvuza 09/1977-08/2023","29/11/1991","14.5"
"Kinneret Kvuza 09/1977-08/2023","30/11/1991","24"
"Kinneret Kvuza 09/1977-08/2023","01/12/1991","20.4"
"Kinneret Kvuza 09/1977-08/2023","02/12/1991","16.4"
"Kinneret Kvuza 09/1977-08/2023","03/12/1991","13.2"
"Kinneret Kvuza 09/1977-08/2023","04/12/1991","0.6"
"Kinneret Kvuza 09/1977-08/2023","08/12/1991","9.3"
"Kinneret Kvuza 09/1977-08/2023","09/12/1991","32.2"
"Kinneret Kvuza 09/1977-08/2023","11/12/1991","5.6"
"Kinneret Kvuza 09/1977-08/2023","12/12/1991","19.1"
"Kinneret Kvuza 09/1977-08/2023","13/12/1991","7.4"
"Kinneret Kvuza 09/1977-08/2023","18/12/1991","0.3"
"Kinneret Kvuza 09/1977-08/2023","19/12/1991","0.9"
"Kinneret Kvuza 09/1977-08/2023","24/12/1991","10.8"
"Kinneret Kvuza 09/1977-08/2023","25/12/1991","3"
"Kinneret Kvuza 09/1977-08/2023","27/12/1991","14.8"
"Kinneret Kvuza 09/1977-08/2023","28/12/1991","0.3"
"Kinneret Kvuza 09/1977-08/2023","30/12/1991","5.8"
"Kinneret Kvuza 09/1977-08/2023","31/12/1991","31.2"
"Kinneret Kvuza 09/1977-08/2023","01/01/1992","34.2"
"Kinneret Kvuza 09/1977-08/2023","02/01/1992","9"
"Kinneret Kvuza 09/1977-08/2023","06/01/1992","0.1"
"Kinneret Kvuza 09/1977-08/2023","13/01/1992","8.2"
"Kinneret Kvuza 09/1977-08/2023","14/01/1992","17.5"
"Kinneret Kvuza 09/1977-08/2023","15/01/1992","2.5"
"Kinneret Kvuza 09/1977-08/2023","16/01/1992","5.8"
"Kinneret Kvuza 09/1977-08/2023","17/01/1992","1.4"
"Kinneret Kvuza 09/1977-08/2023","18/01/1992","0.9"
"Kinneret Kvuza 09/1977-08/2023","19/01/1992","22.2"
"Kinneret Kvuza 09/1977-08/2023","20/01/1992","3.5"
"Kinneret Kvuza 09/1977-08/2023","21/01/1992","0.1"
"Kinneret Kvuza 09/1977-08/2023","29/01/1992","0"
"Kinneret Kvuza 09/1977-08/2023","30/01/1992","22.1"
"Kinneret Kvuza 09/1977-08/2023","31/01/1992","47.8"
"Kinneret Kvuza 09/1977-08/2023","01/02/1992","4"
"Kinneret Kvuza 09/1977-08/2023","02/02/1992","15.2"
"Kinneret Kvuza 09/1977-08/2023","03/02/1992","15.5"
"Kinneret Kvuza 09/1977-08/2023","04/02/1992","12.4"
"Kinneret Kvuza 09/1977-08/2023","05/02/1992","7"
"Kinneret Kvuza 09/1977-08/2023","06/02/1992","13.8"
"Kinneret Kvuza 09/1977-08/2023","07/02/1992","2"
"Kinneret Kvuza 09/1977-08/2023","08/02/1992","28"
"Kinneret Kvuza 09/1977-08/2023","09/02/1992","11.5"
"Kinneret Kvuza 09/1977-08/2023","10/02/1992","0.1"
"Kinneret Kvuza 09/1977-08/2023","11/02/1992","4"
"Kinneret Kvuza 09/1977-08/2023","12/02/1992","29.8"
"Kinneret Kvuza 09/1977-08/2023","13/02/1992","1"
"Kinneret Kvuza 09/1977-08/2023","19/02/1992","0"
"Kinneret Kvuza 09/1977-08/2023","20/02/1992","1.3"
"Kinneret Kvuza 09/1977-08/2023","21/02/1992","0.1"
"Kinneret Kvuza 09/1977-08/2023","22/02/1992","1.2"
"Kinneret Kvuza 09/1977-08/2023","23/02/1992","25"
"Kinneret Kvuza 09/1977-08/2023","24/02/1992","56.4"
"Kinneret Kvuza 09/1977-08/2023","25/02/1992","16.6"
"Kinneret Kvuza 09/1977-08/2023","26/02/1992","1"
"Kinneret Kvuza 09/1977-08/2023","27/02/1992","2.4"
"Kinneret Kvuza 09/1977-08/2023","29/02/1992","2.5"
"Kinneret Kvuza 09/1977-08/2023","03/03/1992","0"
"Kinneret Kvuza 09/1977-08/2023","04/03/1992","4"
"Kinneret Kvuza 09/1977-08/2023","05/03/1992","0.1"
"Kinneret Kvuza 09/1977-08/2023","06/03/1992","0"
"Kinneret Kvuza 09/1977-08/2023","08/03/1992","0"
"Kinneret Kvuza 09/1977-08/2023","15/03/1992","0"
"Kinneret Kvuza 09/1977-08/2023","20/03/1992","1.4"
"Kinneret Kvuza 09/1977-08/2023","21/03/1992","5.1"
"Kinneret Kvuza 09/1977-08/2023","22/03/1992","7.6"
"Kinneret Kvuza 09/1977-08/2023","12/04/1992","0"
"Kinneret Kvuza 09/1977-08/2023","13/04/1992","0.2"
"Kinneret Kvuza 09/1977-08/2023","14/04/1992","0"
"Kinneret Kvuza 09/1977-08/2023","16/04/1992","0.7"
"Kinneret Kvuza 09/1977-08/2023","20/04/1992","0"
"Kinneret Kvuza 09/1977-08/2023","07/05/1992","3.5"
"Kinneret Kvuza 09/1977-08/2023","09/05/1992","2"
"Kinneret Kvuza 09/1977-08/2023","15/05/1992","0.1"
"Kinneret Kvuza 09/1977-08/2023","16/05/1992","0.1"
"Kinneret Kvuza 09/1977-08/2023","17/05/1992","0.7"
"Kinneret Kvuza 09/1977-08/2023","24/05/1992","0"
"Kinneret Kvuza 09/1977-08/2023","15/06/1992","0"
"Kinneret Kvuza 09/1977-08/2023","16/06/1992","3.5"
"Kinneret Kvuza 09/1977-08/2023","17/06/1992","0.2"
"Kinneret Kvuza 09/1977-08/2023","28/06/1992","0"
"Kinneret Kvuza 09/1977-08/2023","12/11/1992","8.8"
"Kinneret Kvuza 09/1977-08/2023","15/11/1992","0"
"Kinneret Kvuza 09/1977-08/2023","19/11/1992","0.3"
"Kinneret Kvuza 09/1977-08/2023","21/11/1992","40.6"
"Kinneret Kvuza 09/1977-08/2023","22/11/1992","0"
"Kinneret Kvuza 09/1977-08/2023","23/11/1992","27.3"
"Kinneret Kvuza 09/1977-08/2023","24/11/1992","0.1"
"Kinneret Kvuza 09/1977-08/2023","25/11/1992","0"
"Kinneret Kvuza 09/1977-08/2023","28/11/1992","0.3"
"Kinneret Kvuza 09/1977-08/2023","01/12/1992","5"
"Kinneret Kvuza 09/1977-08/2023","02/12/1992","15.5"
"Kinneret Kvuza 09/1977-08/2023","03/12/1992","0.1"
"Kinneret Kvuza 09/1977-08/2023","04/12/1992","2.3"
"Kinneret Kvuza 09/1977-08/2023","05/12/1992","0"
"Kinneret Kvuza 09/1977-08/2023","07/12/1992","11"
"Kinneret Kvuza 09/1977-08/2023","08/12/1992","0.5"
"Kinneret Kvuza 09/1977-08/2023","12/12/1992","2.5"
"Kinneret Kvuza 09/1977-08/2023","13/12/1992","15.5"
"Kinneret Kvuza 09/1977-08/2023","14/12/1992","37"
"Kinneret Kvuza 09/1977-08/2023","15/12/1992","51.5"
"Kinneret Kvuza 09/1977-08/2023","16/12/1992","14"
"Kinneret Kvuza 09/1977-08/2023","17/12/1992","3.5"
"Kinneret Kvuza 09/1977-08/2023","18/12/1992","0.7"
